0	8030
1	8031
2	8032
3	8033
4	8034
5	8035
6	8036
7	8037
8	8038
9	8039
	803A
	803B
	803C
	803D
	803E
	803F
	8040
A	8041
B	8042
C	8043
D	8044
E	8045
F	8046
G	8047
H	8048
I	8049
J	804A
K	804B
L	804C
M	804D
N	804E
O	804F
P	8050
Q	8051
R	8052
S	8053
T	8054
U	8055
V	8056
W	8057
X	8058
Y	8059
Z	805A
_	805F
a	8061
b	8062
c	8063
d	8064
e	8065
f	8066
g	8067
h	8068
i	8069
j	806A
k	806B
l	806C
m	806D
n	806E
o	806F
p	8070
q	8071
r	8072
s	8073
t	8074
u	8075
v	8076
w	8077
x	8078
y	8079
z	807A
	807B
	807C
	807D
~	807E
	807F
	8080
©	0081
«	0082
¬	0083
®	0084
»	0085
à	0086
á	0087
ç	0088
è	0089
é	008A
ñ	008B
ú	008C
ü	008D
А	008E
Б	008F
В	0090
Г	0091
Д	0092
Е	0093
Ж	0094
З	0095
И	0096
Й	0097
К	0098
Л	0099
М	009A
Н	009B
О	009C
П	009D
Р	009E
С	009F
Т	00A0
У	00A1
Ф	00A2
Х	00A3
Ц	00A4
Ч	00A5
Ш	00A6
Щ	00A7
Ъ	00A8
Ы	00A9
Ь	00AA
Э	00AB
Ю	00AC
Я	00AD
а	00AE
б	00AF
в	00B0
г	00B1
д	00B2
е	00B3
ж	00B4
з	00B5
и	00B6
й	00B7
к	00B8
л	00B9
м	00BA
н	00BB
о	00BC
п	00BD
р	00BE
с	00BF
т	00C0
у	00C1
ф	00C2
х	00C3
ц	00C4
ч	00C5
ш	00C6
щ	00C7
ъ	00C8
ы	00C9
ь	00CA
э	00CB
ю	00CC
я	00CD
–	00CE
‘	00CF
“	00D0
”	00D1
…	00D2
№	00D3
™	00D4
ё	00F7
Ё	00F8
´	00F9
£	00FA
