0	8030
1	8031
2	8032
3	8033
4	8034
5	8035
6	8036
7	8037
8	8038
9	8039
	803A
	803B
	803C
	803D
	803E
	803F
	8040
A	8041
B	8042
C	8043
D	8044
E	8045
F	8046
G	8047
H	8048
I	8049
J	804A
K	804B
L	804C
M	804D
N	804E
O	804F
P	8050
Q	8051
R	8052
S	8053
T	8054
U	8055
V	8056
W	8057
X	8058
Y	8059
Z	805A
_	805F
a	8061
b	8062
c	8063
d	8064
e	8065
f	8066
g	8067
h	8068
i	8069
j	806A
k	806B
l	806C
m	806D
n	806E
o	806F
p	8070
q	8071
r	8072
s	8073
t	8074
u	8075
v	8076
w	8077
x	8078
y	8079
z	807A
	807B
	807C
	807D
~	807E
	807F
©	0080
◆	0081
®	0082
×	0083
à	0084
á	0085
ç	0086
è	0087
é	0088
ñ	0089
ú	008A
ü	008B
－	008C
―	008D
’	008E
”	008F
…	0090
◇	0091
Ⅳ	0092
→	0093
≪	0094
≫	0095
Ⓒ	0096
◎	0097
☆	0098
　	0099
、	009A
。	009B
々	009C
「	009D
」	009E
『	009F
』	00A0
ぁ	00A1
あ	00A2
い	00A3
ぅ	00A4
う	00A5
ぇ	00A6
え	00A7
ぉ	00A8
お	00A9
か	00AA
が	00AB
き	00AC
ぎ	00AD
く	00AE
ぐ	00AF
け	00B0
げ	00B1
こ	00B2
ご	00B3
さ	00B4
ざ	00B5
し	00B6
じ	00B7
す	00B8
ず	00B9
せ	00BA
ぜ	00BB
そ	00BC
ぞ	00BD
た	00BE
だ	00BF
ち	00C0
っ	00C1
つ	00C2
づ	00C3
て	00C4
で	00C5
と	00C6
ど	00C7
な	00C8
に	00C9
ぬ	00CA
ね	00CB
の	00CC
は	00CD
ば	00CE
ぱ	00CF
ひ	00D0
び	00D1
ぴ	00D2
ふ	00D3
ぶ	00D4
ぷ	00D5
へ	00D6
べ	00D7
ぺ	00D8
ほ	00D9
ぼ	00DA
ぽ	00DB
ま	00DC
み	00DD
む	00DE
め	00DF
も	00E0
ゃ	00E1
や	00E2
ゅ	00E3
ゆ	00E4
ょ	00E5
よ	00E6
ら	00E7
り	00E8
る	00E9
れ	00EA
ろ	00EB
わ	00EC
を	00ED
ん	00EE
ァ	00EF
ア	00F0
ィ	00F1
イ	00F2
ゥ	00F3
ウ	00F4
ェ	00F5
エ	00F6
ォ	00F7
オ	00F8
カ	00F9
ガ	00FA
キ	00FB
ギ	00FC
ク	00FD
グ	00FE
ケ	00FF
ゲ	0100
コ	0101
ゴ	0102
サ	0103
ザ	0104
シ	0105
ジ	0106
ス	0107
ズ	0108
セ	0109
ゼ	010A
ソ	010B
ゾ	010C
タ	010D
ダ	010E
チ	010F
ッ	0110
ツ	0111
ヅ	0112
テ	0113
デ	0114
ト	0115
ド	0116
ナ	0117
ニ	0118
ヌ	0119
ネ	011A
ノ	011B
ハ	011C
バ	011D
パ	011E
ヒ	011F
ビ	0120
ピ	0121
フ	0122
ブ	0123
プ	0124
ヘ	0125
ベ	0126
ペ	0127
ホ	0128
ボ	0129
ポ	012A
マ	012B
ミ	012C
ム	012D
メ	012E
モ	012F
ャ	0130
ヤ	0131
ュ	0132
ユ	0133
ョ	0134
ヨ	0135
ラ	0136
リ	0137
ル	0138
レ	0139
ロ	013A
ワ	013B
ン	013C
ヴ	013D
ヵ	013E
ヶ	013F
・	0140
ー	0141
一	0142
丁	0143
七	0144
万	0145
丈	0146
三	0147
上	0148
下	0149
不	014A
与	014B
且	014C
世	014D
丘	014E
両	014F
並	0150
中	0151
串	0152
丸	0153
主	0154
久	0155
乏	0156
乗	0157
乞	0158
乱	0159
乳	015A
乾	015B
了	015C
予	015D
争	015E
事	015F
二	0160
互	0161
五	0162
井	0163
些	0164
亡	0165
交	0166
享	0167
亭	0168
人	0169
仇	016A
今	016B
介	016C
仏	016D
仕	016E
他	016F
付	0170
代	0171
令	0172
以	0173
仮	0174
仰	0175
仲	0176
件	0177
任	0178
企	0179
伏	017A
休	017B
会	017C
伝	017D
伯	017E
伴	017F
伸	0180
似	0181
但	0182
位	0183
低	0184
住	0185
佐	0186
体	0187
何	0188
余	0189
作	018A
併	018B
使	018C
例	018D
侍	018E
供	018F
依	0190
価	0191
侮	0192
侵	0193
侶	0194
便	0195
係	0196
促	0197
俄	0198
俗	0199
保	019A
信	019B
修	019C
俳	019D
倉	019E
個	019F
倍	01A0
倒	01A1
候	01A2
借	01A3
値	01A4
倫	01A5
偉	01A6
偏	01A7
停	01A8
健	01A9
偲	01AA
側	01AB
偵	01AC
偶	01AD
偽	01AE
傍	01AF
傑	01B0
傘	01B1
備	01B2
催	01B3
傭	01B4
傲	01B5
債	01B6
傷	01B7
傾	01B8
僅	01B9
働	01BA
像	01BB
僕	01BC
僚	01BD
僧	01BE
儀	01BF
億	01C0
償	01C1
優	01C2
儲	01C3
元	01C4
兄	01C5
充	01C6
兆	01C7
先	01C8
光	01C9
克	01CA
免	01CB
児	01CC
党	01CD
入	01CE
全	01CF
八	01D0
公	01D1
六	01D2
共	01D3
兵	01D4
具	01D5
典	01D6
兼	01D7
内	01D8
円	01D9
再	01DA
冒	01DB
冗	01DC
写	01DD
冠	01DE
冤	01DF
冴	01E0
冷	01E1
凄	01E2
凍	01E3
凡	01E4
処	01E5
凧	01E6
凪	01E7
凱	01E8
凶	01E9
出	01EA
刀	01EB
刃	01EC
分	01ED
切	01EE
刑	01EF
列	01F0
初	01F1
判	01F2
別	01F3
利	01F4
到	01F5
制	01F6
刷	01F7
券	01F8
刹	01F9
刺	01FA
刻	01FB
剃	01FC
則	01FD
削	01FE
前	01FF
剖	0200
剣	0201
剤	0202
剥	0203
副	0204
剰	0205
割	0206
創	0207
劇	0208
力	0209
功	020A
加	020B
劣	020C
助	020D
努	020E
励	020F
労	0210
効	0211
劾	0212
勃	0213
勇	0214
勉	0215
動	0216
勘	0217
務	0218
勝	0219
募	021A
勢	021B
勤	021C
勧	021D
勲	021E
勿	021F
匂	0220
包	0221
化	0222
北	0223
匠	0224
匹	0225
区	0226
医	0227
匿	0228
十	0229
千	022A
午	022B
半	022C
卑	022D
卒	022E
協	022F
南	0230
単	0231
博	0232
占	0233
印	0234
危	0235
即	0236
却	0237
卵	0238
厄	0239
厚	023A
原	023B
厭	023C
厳	023D
去	023E
参	023F
又	0240
及	0241
友	0242
双	0243
反	0244
収	0245
叔	0246
取	0247
受	0248
口	0249
古	024A
句	024B
叩	024C
只	024D
叫	024E
召	024F
可	0250
台	0251
史	0252
右	0253
叶	0254
号	0255
司	0256
各	0257
合	0258
吉	0259
吊	025A
同	025B
名	025C
吐	025D
向	025E
君	025F
吠	0260
否	0261
含	0262
吸	0263
吹	0264
呂	0265
呆	0266
呈	0267
告	0268
呑	0269
呟	026A
周	026B
呪	026C
味	026D
呵	026E
呼	026F
命	0270
和	0271
咎	0272
咥	0273
咲	0274
咳	0275
哀	0276
品	0277
員	0278
哲	0279
唆	027A
唇	027B
唖	027C
唯	027D
唱	027E
唾	027F
商	0280
問	0281
啓	0282
善	0283
喉	0284
喋	0285
喚	0286
喜	0287
喝	0288
喧	0289
喩	028A
喪	028B
喫	028C
喰	028D
営	028E
嗅	028F
嗜	0290
