—	807f
…	8080
　	8081
、	8082
。	8083
／	8084
「	8085
」	8086
△	8087
□	8088
○	8089
╳	808a
＋	808b
射	808c
击	808d
的	808e
准	808f
确	8090
注	8091
意	8092
妈	8093
雇	8094
佣	8095
杀	8096
手	8097
已	8098
经	8099
发	809a
现	809b
了	809c
你	809d
就	809e
在	809f
附	80a0
近	80a1
不	80a2
要	80a3
掉	80a4
以	80a5
轻	80a6
心	80a7
小	80a8
正	80a9
靠	80aa
听	80ab
到	80ac
这	80ad
个	80ae
词	80af
我	80b0
都	80b1
觉	80b2
得	80b3
腻	80b4
真	80b5
烦	80b6
人	80b7
帮	80b8
低	80b9
能	80ba
儿	80bb
难	80bc
道	80bd
知	80be
放	80bf
弃	80c0
吗	80c1
可	80c2
恶	80c3
接	80c4
招	80c5
吧	80c6
渣	80c7
混	80c8
账	80c9
们	80ca
是	80cb
想	80cc
气	80cd
死	80ce
么	80cf
似	80d0
乎	80d1
暂	80d2
时	80d3
让	80d4
他	80d5
逃	80d6
跑	80d7
过	80d8
一	80d9
定	80da
会	80db
回	80dc
来	80dd
完	80de
成	80df
委	80e0
托	80e1
被	80e2
盯	80e3
上	80e4
保	80e5
持	80e6
冷	80e7
静	80e8
进	80e9
入	80ea
篇	80eb
区	80ec
域	80ed
弗	80ee
朗	80ef
西	80f0
斯	80f1
国	80f2
际	80f3
机	80f4
场	80f5
急	80f6
救	80f7
任	80f8
务	80f9
等	80fa
级	80fb
护	80fc
理	80fd
员	80fe
请	80ff
待	8100
下	8101
次	8102
武	8103
器	8104
货	8105
特	8106
警	8107
：	8108
波	8109
兰	810a
辆	810b
殊	810c
摩	810d
车	810e
“	810f
”	8110
送	8111
至	8112
库	8113
唐	8114
顿	8115
逮	8116
捕	8117
后	8118
再	8119
扣	811a
除	811b
金	811c
钱	811d
海	811e
岸	811f
之	8120
谷	8121
汽	8122
换	8123
衣	8124
服	8125
哟	8126
起	8127
清	8128
条	8129
街	812a
废	812b
物	812c
没	812d
间	812e
有	812f
群	8130
良	8131
分	8132
子	8133
去	8134
给	8135
好	8136
课	8137
暴	8138
民	8139
蛋	813a
垃	813b
圾	813c
聚	813d
集	813e
棍	813f
欺	8140
负	8141
众	8142
又	8143
引	8144
骚	8145
动	8146
赶	8147
快	8148
行	8149
那	814a
偷	814b
穷	814c
必	814d
须	814e
调	814f
教	8150
违	8151
法	8152
停	8153
情	8154
况	8155
尽	8156
做	8157
坏	8158
事	8159
家	815a
伙	815b
惩	815c
罚	815d
福	815e
和	815f
平	8160
很	8161
多	8162
少	8163
如	8164
此	8165
开	8166
始	8167
找	8168
出	8169
旁	816a
边	816b
话	816c
指	816d
示	816e
按	816f
结	8170
束	8171
走	8172
别	8173
取	8174
消	8175
虽	8176
然	8177
城	8178
