，	0723
龙	0722
齿	0721
鼻	0720
鼠	071f
默	071e
黑	071d
黄	071c
麻	071b
鹰	071a
鸦	0719
鸥	0718
鸣	0717
鸡	0716
乌	0715
鲁	0714
鱼	0713
魔	0712
鬼	0711
高	0710
股	070f
骨	070e
骚	070d
骗	070c
骑	070b
验	070a
骄	0709
骂	0708
驾	0707
驶	0706
驱	0705
马	0704
首	0703
馈	0702
馆	0701
饿	0700
饵	06ff
饰	06fe
饮	06fd
饭	06fc
餐	06fb
食	06fa
飞	06f9
风	06f8
额	06f7
颜	06f6
题	06f5
颗	06f4
频	06f3
颂	06f2
预	06f1
颁	06f0
顿	06ef
顾	06ee
须	06ed
顺	06ec
项	06eb
顶	06ea
页	06e9
音	06e8
鞋	06e7
靴	06e6
面	06e5
靠	06e4
非	06e3
静	06e2
青	06e1
露	06e0
霰	06df
震	06de
需	06dd
雾	06dc
雷	06db
零	06da
雨	06d9
雇	06d8
集	06d7
雄	06d6
雀	06d5
难	06d4
障	06d3
隐	06d2
随	06d1
陷	06d0
险	06cf
除	06ce
院	06cd
限	06cc
降	06cb
陆	06ca
际	06c9
附	06c8
咀	06c7
阵	06c6
阴	06c5
阳	06c4
防	06c3
阱	06c2
队	06c1
阉	06c0
闻	06bf
闹	06be
闸	06bd
间	06bc
闲	06bb
闯	06ba
问	06b9
闭	06b8
闪	06b7
门	06b6
长	06b5
镜	06b4
镇	06b3
锻	06b2
锯	06b1
键	06b0
锥	06af
错	06ae
锋	06ad
锅	06ac
锁	06ab
销	06aa
链	06a9
银	06a8
铲	06a7
铜	06a6
铅	06a5
铁	06a4
钱	06a3
钮	06a2
钩	06a1
钥	06a0
钟	069f
钞	069e
钉	069d
针	069c
金	069b
量	069a
野	0699
重	0698
里	0697
释	0696
采	0695
醒	0694
醉	0693
酷	0692
酱	0691
酬	0690
酒	068f
配	068e
都	068d
部	068c
那	068b
邀	068a
避	0689
遭	0688
遥	0687
遗	0686
道	0685
遇	0684
逼	0683
逻	0682
逮	0681
造	0680
速	067f
逛	067e
通	067d
途	067c
递	067b
逐	067a
透	0679
逊	0678
选	0677
逆	0676
逃	0675
适	0674
送	0673
退	0672
追	0671
迹	0670
迷	066f
迫	066e
迪	066d
迟	066c
连	066b
违	066a
远	0669
进	0668
这	0667
还	0666
返	0665
近	0664
运	0663
迎	0662
迈	0661
过	0660
达	065f
边	065e
辱	065d
辫	065c
辨	065b
输	065a
辑	0659
辈	0658
辆	0657
较	0656
轿	0655
载	0654
轻	0653
轴	0652
轰	0651
软	0650
轮	064f
转	064e
轨	064d
车	064c
躺	064b
躲	064a
身	0649
蹲	0648
蹄	0647
踪	0646
踩	0645
踏	0644
跳	0643
路	0642
跟	0641
距	0640
跑	063f
跃	063e
趴	063d
足	063c
趣	063b
越	063a
超	0639
趁	0638
起	0637
赶	0636
走	0635
赢	0634
赛	0633
赚	0632
赌	0631
资	0630
赂	062f
贿	062e
贼	062d
费	062c
贷	062b
贵	062a
贱	0629
购	0628
