0	8030
1	8031
2	8032
3	8033
4	8034
5	8035
6	8036
7	8037
8	8038
9	8039
	803A
	803B
	803C
	803D
	803E
	803F
	8040
A	8041
B	8042
C	8043
D	8044
E	8045
F	8046
G	8047
H	8048
I	8049
J	804A
K	804B
L	804C
M	804D
N	804E
O	804F
P	8050
Q	8051
R	8052
S	8053
T	8054
U	8055
V	8056
W	8057
X	8058
Y	8059
Z	805A
_	805F
a	8061
b	8062
c	8063
d	8064
e	8065
f	8066
g	8067
h	8068
i	8069
j	806A
k	806B
l	806C
m	806D
n	806E
o	806F
p	8070
q	8071
r	8072
s	8073
t	8074
u	8075
v	8076
w	8077
x	8078
y	8079
z	807A
	807B
	807C
	807D
~	807E
	807F
_	0080
－	0081
“	0082
”	0083
…	0084
←	0085
↑	0086
→	0087
↓	0088
１	0089
２	008a
３	008b
４	008c
５	008d
６	008e
７	008f
８	0090
９	0091
０	0092
　	0093
、	0094
。	0095
々	0096
「	0097
」	0098
ぁ	0099
あ	009a
い	009b
う	009c
ぇ	009d
え	009e
お	009f
か	00a0
が	00a1
き	00a2
ぎ	00a3
く	00a4
ぐ	00a5
け	00a6
げ	00a7
こ	00a8
ご	00a9
さ	00aa
ざ	00ab
し	00ac
じ	00ad
す	00ae
ず	00af
せ	00b0
ぜ	00b1
そ	00b2
ぞ	00b3
た	00b4
だ	00b5
ち	00b6
っ	00b7
つ	00b8
づ	00b9
て	00ba
で	00bb
と	00bc
ど	00bd
な	00be
に	00bf
ぬ	00c0
ね	00c1
の	00c2
は	00c3
ば	00c4
ぱ	00c5
ひ	00c6
び	00c7
ふ	00c8
ぶ	00c9
ぷ	00ca
へ	00cb
べ	00cc
ぺ	00cd
ほ	00ce
ぼ	00cf
ぽ	00d0
ま	00d1
み	00d2
む	00d3
め	00d4
も	00d5
ゃ	00d6
や	00d7
ゅ	00d8
ゆ	00d9
ょ	00da
よ	00db
ら	00dc
り	00dd
る	00de
れ	00df
ろ	00e0
わ	00e1
を	00e2
ん	00e3
ァ	00e4
ア	00e5
ィ	00e6
イ	00e7
ゥ	00e8
ウ	00e9
ェ	00ea
エ	00eb
ォ	00ec
オ	00ed
カ	00ee
ガ	00ef
キ	00f0
ギ	00f1
ク	00f2
グ	00f3
ケ	00f4
ゲ	00f5
コ	00f6
ゴ	00f7
サ	00f8
ザ	00f9
シ	00fa
ジ	00fb
ス	00fc
ズ	00fd
セ	00fe
ゼ	00ff
ソ	0100
ゾ	0101
タ	0102
ダ	0103
チ	0104
ッ	0105
ツ	0106
テ	0107
デ	0108
ト	0109
ド	010a
ナ	010b
ニ	010c
ヌ	010d
ネ	010e
ノ	010f
ハ	0110
バ	0111
パ	0112
ヒ	0113
ビ	0114
ピ	0115
フ	0116
ブ	0117
プ	0118
ヘ	0119
ベ	011a
ペ	011b
ホ	011c
ボ	011d
ポ	011e
マ	011f
ミ	0120
ム	0121
メ	0122
モ	0123
ャ	0124
ヤ	0125
ュ	0126
ユ	0127
ョ	0128
ヨ	0129
ラ	012a
リ	012b
ル	012c
レ	012d
ロ	012e
ワ	012f
ン	0130
ヴ	0131
·	0132
ー	0133
一	0134
丁	0135
万	0136
丈	0137
三	0138
上	0139
下	013a
不	013b
与	013c
世	013d
両	013e
並	013f
中	0140
丸	0141
主	0142
久	0143
乏	0144
乗	0145
乱	0146
了	0147
予	0148
争	0149
事	014a
二	014b
互	014c
井	014d
亡	014e
交	014f
人	0150
今	0151
介	0152
仕	0153
他	0154
付	0155
代	0156
令	0157
以	0158
仲	0159
件	015a
任	015b
伍	015c
伏	015d
休	015e
会	015f
伝	0160
似	0161
位	0162
低	0163
住	0164
佐	0165
体	0166
何	0167
余	0168
作	0169
使	016a
例	016b
供	016c
依	016d
価	016e
係	016f
促	0170
保	0171
信	0172
修	0173
俺	0174
倉	0175
個	0176
倍	0177
倒	0178
候	0179
借	017a
値	017b
偉	017c
停	017d
側	017e
偽	017f
備	0180
催	0181
傭	0182
債	0183
傷	0184
働	0185
像	0186
僕	0187
僧	0188
優	0189
儲	018a
元	018b
兄	018c
充	018d
先	018e
光	018f
免	0190
党	0191
入	0192
全	0193
公	0194
六	0195
共	0196
兵	0197
具	0198
内	0199
再	019a
冗	019b
写	019c
冷	019d
凡	019e
処	019f
出	01a0
分	01a1
切	01a2
刑	01a3
初	01a4
判	01a5
別	01a6
利	01a7
到	01a8
制	01a9
刷	01aa
刺	01ab
刻	01ac
則	01ad
削	01ae
前	01af
副	01b0
割	01b1
力	01b2
功	01b3
加	01b4
助	01b5
努	01b6
労	01b7
効	01b8
勇	01b9
勉	01ba
動	01bb
勘	01bc
務	01bd
勝	01be
勢	01bf
包	01c0
化	01c1
北	01c2
匹	01c3
医	01c4
十	01c5
半	01c6
南	01c7
単	01c8
占	01c9
印	01ca
危	01cb
厄	01cc
原	01cd
厳	01ce
去	01cf
参	01d0
及	01d1
友	01d2
反	01d3
収	01d4
取	01d5
受	01d6
口	01d7
古	01d8
句	01d9
叩	01da
可	01db
台	01dc
右	01dd
号	01de
司	01df
各	01e0
合	01e1
同	01e2
名	01e3
向	01e4
君	01e5
吸	01e6
吹	01e7
告	01e8
周	01e9
味	01ea
呼	01eb
命	01ec
品	01ed
員	01ee
商	01ef
問	01f0
善	01f1
喜	01f2
喝	01f3
営	01f4
嗅	01f5
嘘	01f6
噂	01f7
器	01f8
噴	01f9
四	01fa
回	01fb
因	01fc
困	01fd
囲	01fe
固	01ff
国	0200
土	0201
在	0202
地	0203
坊	0204
型	0205
垣	0206
城	0207
基	0208
報	0209
場	020a
塗	020b
塞	020c
増	020d
墜	020e
壁	020f
壊	0210
士	0211
声	0212
売	0213
変	0214
外	0215
多	0216
夜	0217
夢	0218
大	0219
天	021a
夫	021b
央	021c
失	021d
奏	021e
契	021f
奥	0220
奪	0221
奮	0222
女	0223
奴	0224
好	0225
妄	0226
妙	0227
妨	0228
妻	0229
始	022a
娘	022b
娯	022c
嫌	022d
嬉	022e
嬢	022f
子	0230
字	0231
存	0232
孤	0233
学	0234
宅	0235
守	0236
安	0237
完	0238
官	0239
定	023a
宝	023b
実	023c
客	023d
宣	023e
害	023f
家	0240
容	0241
寂	0242
寄	0243
密	0244
寒	0245
寝	0246
察	0247
審	0248
寸	0249
対	024a
射	024b
将	024c
尉	024d
尋	024e
導	024f
小	0250
少	0251
尻	0252
尽	0253
尾	0254
局	0255
居	0256
屈	0257
届	0258
屋	0259
展	025a
層	025b
履	025c
山	025d
岸	025e
島	025f
崇	0260
州	0261
巣	0262
工	0263
左	0264
巨	0265
己	0266
巷	0267
市	0268
師	0269
帯	026a
帰	026b
常	026c
幕	026d
幣	026e
干	026f
年	0270
幸	0271
幹	0272
広	0273
底	0274
店	0275
府	0276
度	0277
座	0278
庫	0279
庭	027a
廃	027b
建	027c
弁	027d
式	027e
引	027f
弟	0280
張	0281
強	0282
弾	0283
当	0284
形	0285
彩	0286
影	0287
役	0288
彼	0289
待	028a
律	028b
後	028c
徒	028d
従	028e
得	028f
御	0290
復	0291
徴	0292
心	0293
必	0294
忘	0295
忙	0296
応	0297
忠	0298
快	0299
念	029a
怒	029b
怖	029c
思	029d
急	029e
性	029f
怪	02a0
